Codigo	Descripcion	Cantidad	Documento
489285	CUAD COLO COLO UNIVERSITARIO 7MM	24	794
472689	CROQUERA PROARTE 27X38 CM 100 HJ - 12927-5	18	794
482512	CUADERNO UNIVERSITARIO PROARTE TRENDS NIÑAS 100 HJ 7 MM	30	795
484987	CUADERNO UNIVERSITARIO PROARTE HOUSE OF DRAGONS 100 HJ 7 MM	49	795
472690	CARPETA ISOFIT CON ELASTICO OFICIO WINNIE THE POOH	12	796
379932	CARPETA PROARTE CON ELASTICO MARVEL COMICS TAMAÑO OFICIO	14	796
484764	1ERO BASICO 2DO SEMESTRE HORIZONTAL	5	796
484762	1 BASICO 2DO SEMESTRE VERTICAL	2	796
484766	2DO BASICO HORIZONTAL	2	796
484765	2DO BASICO VERTICAL	8	796
484896	CUAD. PROARTE NATURE 4TA 150HJ 7MM - 36884-9	6	797
489113	CUAD PROARTE MUJER 4TA 120 HJ 7MM - 36804-0	9	797
3797136	CUADERNO PROARTE MÁNDALA 4TA 150 HOJAS - 30798-K	2	797
383369	CUADERNO PROARTE PELICULAS CUARTA 150HJ - 32050-1	4	797
482452	BLOCK PREPICADO PROARTE OFICIO 80HJS	11	797
3797137	CUADERNO PROARTE ANIMALES ADORABLES 4TA 150 HJ - 25079-1	1	797
482458	CUADERNO UNIVERSITARIO PROARTE MERLINA 100 HJ 7 MM - 36165-8	11	797
489355	CUAD. DOBLEZ COLON LISO MAT, 7MM -11916	10	797
379973	CUADERNO CACHORRO RACHAELHALE UN	56	798
484990	CUADERNO UNIVERSITARIO PROARTE XMENS 100 HJ 7 MM	35	798
489468	CUAD UNIV 100HJ 7MM FROZEN	14	799
381439	CUADERNO KNUCKLES SONIC THE HEDGEHOG TORRE	43	800
381439	CUADERNO KNUCKLES SONIC THE HEDGEHOG TORRE	43	801
381439	CUADERNO KNUCKLES SONIC THE HEDGEHOG TORRE	43	802
381439	CUADERNO KNUCKLES SONIC THE HEDGEHOG TORRE	53	803
383059	CROQUERA 21 X 16 CMS TEXTURA	16	804
482509	CUADERNO PROARTE HELLO KITTY 4TA 150 HJ 7 MM - 35739-1	8	804
489285	CUAD COLO COLO UNIVERSITARIO 7MM	40	805
489111	CROQUERA PROARTE MARVEL 16X21 CM 80 HJ	16	806
482509	CUADERNO PROARTE HELLO KITTY 4TA 150 HJ 7 MM	21	806
489285	CUAD COLO COLO UNIVERSITARIO 7MM	40	807
489285	CUAD COLO COLO UNIVERSITARIO 7MM	40	808
381439	CUADERNO KNUCKLES SONIC THE HEDGEHOG TORRE	40	809
474533	CUADERNO UNIVERSITARIO PROARTE KUROMI	12	811
474754	CUADERNO UNIV 100HJ STITCH PASTEL UN	25	811
489285	CUAD COLO COLO UNIVERSITARIO 7MM	40	812
474563	CUADERNO PROARTE CINNAMOROLL 4TA 150 HJ	8	813
3797137	CUADERNO PROARTE ANIMALES ADORABLES 4TA 150 HJ	8	813
484917	CROQUERA PROARTE HELLO KITTY 16X21 CM 80HJ	35	814
489329	CUAD.TE POCKET SONIC 5MM 90H TORRE	3	814
383335	CUADERNO PROARTE OCTAVA MADAGASCAR 120HJ	5	814
489330	CUAD.POCKET TE MINECRAFT 5MM 90H TORRE	3	814
489117	CUAD PROARTE GLITTER MUJER 4TA 150 HJ 7MM	22	815
489282	CUAD COLO COLO 5MM COLLEGE	62	816
489111	CROQUERA PROARTE MARVEL 16X21 CM 80 HJ	47	817
489114	CUAD PROARTE MUJER CARTA 120 HJ 7MM	20	818
482504	CUADERNO UNIVERSITARIO PROARTE SUPER HEROES 100 HJ 7MM	12	820
379968	BLOCK PROARTE DIBUJO LICE0 60 20 HJ	60	820
